asalto|HEREDIA MERCEDES|39|2014|10.0049385,-84.1361344
asalto|SAN RAFAEL SANTIAGO|1|2014|10.0083127,-84.1045862
asalto|DESAMPARADOS PATARRA|25|2014|9.8993801,-84.0651547
asalto|SANTO DOMINGO PARA|1|2014|10.007182,-84.02955
asalto|TARRAZU SAN LORENZO|1|2014|9.6051515,-84.0378894
asalto|SANTA BARBARA SANTO DOMINGO|1|2014|9.9971778,-84.1192795
asalto|PUNTARENAS COBANO|34|2014|9.6912382,-85.1038426
asalto|SANTA CRUZ CARTAGENA|2|2014|10.383333,-85.683333
asalto|GUATUSO KATIRA|1|2014|10.7416183,-84.9141012
asalto|TIBAS COLIMA|43|2014|9.9530577,-84.0880839
asalto|SANTA CRUZ TEMPATE|6|2014|36.9741171,-122.0307963
asalto|PEREZ ZELEDON GENERAL|5|2014|9.3719229,-83.6615884
asalto|LA UNION SAN RAFAEL|36|2014|10.0748859,-84.4733739
asalto|PARAISO SANTIAGO|1|2014|10.4868254,-66.9008159
asalto|BELEN LA RIBERA|14|2014|9.9878538,-84.1882918
asalto|OSA SIERPE|2|2014|8.8581888,-83.4736919
asalto|ALAJUELITA DESCONOCIDO|1|2014|9.9,-84.1
asalto|ALAJUELITA SAN JOSECITO|38|2014|9.8932255,-84.1051966
asalto|SIQUIRRES PACUARITO|26|2014|10.0977681,-83.5041046
asalto|JIMENEZ PEJIBAYE|2|2014|9.9280694,-84.0907246
asalto|GOICOECHEA CALLE BLANCOS|44|2014|9.95,-84.066667
asalto|DESAMPARADOS LOS GUIDO|54|2014|9.8993801,-84.0651547
asalto|SARAPIQUI HORQUETAS|31|2014|10.3352857,-83.9506104
asalto|JIMENEZ TUCURRIQUE|1|2014|9.8530747,-83.7229852
asalto|GOICOECHEA RANCHO REDONDO|2|2014|9.961952,-83.950935
asalto|TIBAS SAN JUAN|123|2014|9.966667,-84.083333
asalto|SAN JOSE HOSPITAL|361|2014|9.9252418,-84.0880839
asalto|BELEN ASUNCION|22|2014|9.983333,-84.166667
asalto|SAN CARLOS QUESADA|92|2014|10.3270781,-84.4356706
asalto|OSA BAHIA BALLENA|19|2014|9.1750034,-83.7331039
asalto|OREAMUNO CIPRESES|1|2014|9.9280694,-84.0907246
asalto|POAS DESCONOCIDO|2|2014|9.9280694,-84.0907246
asalto|ALAJUELITA SAN ANTONIO|11|2014|9.9166727,-84.1013616
asalto|SANTO DOMINGO SANTA ROSA|22|2014|9.969938,-84.0986459
asalto|SIQUIRRES ALEGRIA|4|2014|9.9280694,-84.0907246
asalto|UPALA UPALA|27|2014|10.8921765,-85.016154
asalto|CARTAGO SAN NICOLAS|59|2014|9.9031929,-83.9426698
asalto|SARAPIQUI LA VIRGEN|7|2014|10.4015672,-84.1342789
asalto|SAN JOSE HATILLO|278|2014|9.9199576,-84.1039262
asalto|LA UNION TRES RIOS|69|2014|9.9066231,-83.986073
asalto|POCOCI RITA|42|2014|10.2819142,-83.7862942
asalto|CORREDORES LA CUESTA|1|2014|8.483333,-82.85
asalto|EL GUARCO EL TEJAR|61|2014|9.8400818,-83.9486254
