homicidios,GOLFITO JIMENEZ,4,2014,9.9280694,-84.0907246
homicidios,SANTA BARBARA SANTO DOMINGO,2,2014,9.9971778,-84.1192795
homicidios,PUNTARENAS COBANO,12,2014,9.6912382,-85.1038426
homicidios,TIBAS COLIMA,13,2014,9.9530577,-84.0880839
homicidios,SANTA CRUZ TEMPATE,3,2014,36.9741171,-122.0307963
homicidios,SAN RAMON PEÑAS BLANCAS,7,2014,10.066667,-84.616667
homicidios,LA UNION SAN RAFAEL,9,2014,9.2793345,-83.5467644
homicidios,PARAISO SANTIAGO,1,2014,10.4868254,-66.9008159
homicidios,PEREZ ZELEDON RIO NUEVO,1,2014,9.416667,-83.8
homicidios,BELEN LA RIBERA,10,2014,9.9878538,-84.1882918
homicidios,OSA SIERPE,2,2014,8.8581888,-83.4736919
homicidios,ALAJUELITA SAN JOSECITO,8,2014,9.8932255,-84.1051966
homicidios,HOJANCHA HOJANCHA,2,2014,10.0353727,-85.3874588
homicidios,SIQUIRRES PACUARITO,3,2014,10.0977681,-83.5041046
homicidios,OROTINA CEIBA,2,2014,9.9,-84.6
homicidios,GOICOECHEA CALLE BLANCOS,21,2014,9.95,-84.066667
homicidios,DESAMPARADOS LOS GUIDO,2,2014,9.8905644,-84.0530842
homicidios,SARAPIQUI HORQUETAS,24,2014,10.3352857,-83.9506104
homicidios,GOICOECHEA RANCHO REDONDO,2,2014,9.961952,-83.950935
homicidios,TIBAS SAN JUAN,58,2014,9.966667,-84.083333
homicidios,SAN JOSE HOSPITAL,24,2014,9.9252418,-84.0880839
homicidios,BELEN ASUNCION,5,2014,9.983333,-84.166667
homicidios,SAN CARLOS QUESADA,16,2014,10.3270781,-84.4356706
homicidios,OSA BAHIA BALLENA,3,2014,9.1750034,-83.7331039
homicidios,OREAMUNO CIPRESES,2,2014,9.9280694,-84.0907246
homicidios,POAS DESCONOCIDO,1,2014,9.9280694,-84.0907246
homicidios,ALAJUELITA SAN ANTONIO,1,2014,9.9166727,-84.1013616
homicidios,SANTO DOMINGO SANTA ROSA,4,2014,9.969938,-84.0986459
homicidios,SIQUIRRES ALEGRIA,2,2014,9.9280694,-84.0907246
homicidios,UPALA UPALA,14,2014,10.8921765,-85.016154
homicidios,CARTAGO SAN NICOLAS,13,2014,9.9031929,-83.9426698
homicidios,LIMON RIO BLANCO,6,2014,10.2111211,-83.8346207
homicidios,LA UNION TRES RIOS,11,2014,9.9066231,-83.986073
homicidios,POCOCI RITA,17,2014,10.280042,-83.7856865
